houseID,title,link,community,years,housetype,square,direction,floor,status,source,totalPrice,unitPrice,detail_room_structure,detail_floor,detail_building_area,detail_flat,detail_usable_area,detail_building_type,detail_facing,detail_building_age,detail_decorate,detail_building_structure,detail_heating,detail_elevator2residents,detail_property_limit,detail_elevator,detail_lianjiaid,detail_market_identity,detail_first_online,detail_usage,detail_limit,detail_belonging,dealdate,updatedate
BJXC87998635,"六铺炕二区 2室1厅 62.5平米",https://bj.lianjia.com/chengjiao/BJXC87998635.html,"六铺炕","1981年建板楼","2室1厅","62.5平米","南 北","中楼层(共6层)","简装","",397,63520,"2室1厅1厨1卫","中楼层(共6层)","62.5㎡","暂无数据","暂无数据","板楼","南 北",1981,"简装","混合结构","集中供暖","一梯三户","70年","无",BJXC87998635,"商品房",2014-09-23,"普通住宅","满五年","暂无数据",2014-09-22,"2019-11-08 16:51:22.271218"
BJXC85871269,"大井胡同 4房间1卫 71.8平米",https://bj.lianjia.com/chengjiao/BJXC85871269.html,"六铺炕","1989年建板楼","4房间1卫","71.8平米","南 西 北","顶层(共6层)","其他","",332,46240,"3室1厅1厨1卫","顶层(共6层)","71.8㎡","平层","暂无数据","板楼","南 西 北",1989,"其他","混合结构","集中供暖","一梯四户","70年","无",BJXC85871269,"商品房",2014-09-18,"普通住宅","暂无数据","暂无数据",2014-09-14,"2019-11-08 16:51:22.271456"
BJXC88242252,"教场口6号院 2室1厅 51.87平米",https://bj.lianjia.com/chengjiao/BJXC88242252.html,"六铺炕","2003年建板楼","2室1厅","51.87平米","南 北","高楼层(共6层)","其他","",280,53982,"2室1厅1厨1卫","高楼层(共6层)","51.87㎡","平层","暂无数据","板楼","南 北",2003,"其他","钢混结构","自供暖","一梯两户","70年","无",BJXC88242252,"商品房",2014-09-15,"普通住宅","暂无数据","暂无数据",2014-09-14,"2019-11-08 16:51:22.277485"
BJXC86926403,"六铺炕一区 3室1厅 58平米",https://bj.lianjia.com/chengjiao/BJXC86926403.html,"六铺炕","1975年建板楼","3室1厅","58平米","南 北","底层(共5层)","其他","",383,66035,"3室1厅1厨1卫","底层(共5层)","58㎡","平层","暂无数据","板楼","南 北",1975,"其他","混合结构","集中供暖","一梯三户","70年","无",BJXC86926403,"商品房",2014-09-30,"普通住宅","满五年","暂无数据",2014-09-30,"2019-11-08 16:51:22.277821"
BJXC87920709,"安德馨居 6室1厅 95.64平米",https://bj.lianjia.com/chengjiao/BJXC87920709.html,"六铺炕","2003年建板楼","6室1厅","95.64平米","东 西","顶层(共6层)","精装","",600,62736,"6室1厅1厨2卫","顶层(共6层)","95.64㎡","平层","暂无数据","板楼","东 西",2003,"精装","钢混结构","集中供暖","一梯三户","70年","无",BJXC87920709,"商品房",2014-09-28,"普通住宅","满五年","暂无数据",2014-09-25,"2019-11-08 16:51:22.278063"
BJ0000581677,"人定湖北巷 --室--厅 57.2平米",https://bj.lianjia.com/chengjiao/BJ0000581677.html,"六铺炕","1984年建板楼","--室--厅","57.2平米","暂无数据","低楼层(共6层)","其他","",331-366,57798-63882,"- -室- -厅","低楼层(共6层)","57.2㎡","平层","暂无数据","板楼","暂无数据",1984,"其他","混合结构","集中供暖","一梯两户","70年","无",BJ0000581677,"商品房",2014-10-01,"普通住宅","暂无数据","暂无数据",2014-10,"2019-11-08 16:51:22.278287"
BJXC88233226,"教场口9号院 3室1厅 84.92平米",https://bj.lianjia.com/chengjiao/BJXC88233226.html,"六铺炕","塔楼","3室1厅","84.92平米","西南","高楼层(共19层)","简装","",450,52992,"3室1厅1厨1卫","高楼层(共19层)","84.92㎡","暂无数据","暂无数据","塔楼","西南","未知","简装","钢混结构","集中供暖","三梯十二户","70年","有",BJXC88233226,"商品房",2014-09-28,"普通住宅","满五年","暂无数据",2014-09-27,"2019-11-08 16:51:22.278527"
BJXC88231766,"教场口9号院 2室1厅 69.57平米",https://bj.lianjia.com/chengjiao/BJXC88231766.html,"六铺炕","塔楼","2室1厅","69.57平米","南","中楼层(共21层)","精装","",371,53328,"2室1厅1厨1卫","中楼层(共21层)","69.57㎡","暂无数据","暂无数据","塔楼","南","未知","精装","钢混结构","集中供暖","三梯十二户","70年","有",BJXC88231766,"商品房",2014-09-17,"普通住宅","满五年","暂无数据",2014-09-15,"2019-11-08 16:51:22.278766"
BJXC88298279,"六铺炕二区 2室1厅 68.25平米",https://bj.lianjia.com/chengjiao/BJXC88298279.html,"六铺炕","1986年建板楼","2室1厅","68.25平米","南 北","中楼层(共6层)","其他","",444,65026,"2室1厅1厨1卫","中楼层(共6层)","68.25㎡","平层","暂无数据","板楼","南 北",1986,"其他","混合结构","集中供暖","一梯三户","70年","无",BJXC88298279,"商品房",2014-09-26,"普通住宅","满五年","暂无数据",2014-09-15,"2019-11-08 16:51:22.279004"
BJXC88255191,"六铺炕一区 1室1厅 50.3平米",https://bj.lianjia.com/chengjiao/BJXC88255191.html,"六铺炕","1994年建板楼","1室1厅","50.3平米","西","低楼层(共6层)","毛坯","",293,58251,"1室1厅1厨1卫","低楼层(共6层)","50.3㎡","暂无数据","暂无数据","板楼","西",1994,"毛坯","混合结构","集中供暖","一梯三户","70年","无",BJXC88255191,"商品房",2014-09-20,"普通住宅","满五年","暂无数据",2014-09-18,"2019-11-08 16:51:22.279244"
BJXC87192786,"安德东里 2室1厅 59.9平米",https://bj.lianjia.com/chengjiao/BJXC87192786.html,"六铺炕","1966年建板楼","2室1厅","59.9平米","南 北","底层(共5层)","其他","",369,61603,"2室1厅1厨1卫","底层(共5层)","59.9㎡","暂无数据","暂无数据","板楼","南 北",1966,"其他","混合结构","集中供暖","一梯三户","70年","无",BJXC87192786,"商品房",2014-09-25,"普通住宅","满五年","暂无数据",2014-09-15,"2019-11-08 16:51:22.282170"
BJXC87837519,"教场口6号院 1室1厅 58.25平米",https://bj.lianjia.com/chengjiao/BJXC87837519.html,"六铺炕","2003年建板楼","1室1厅","58.25平米","东","低楼层(共6层)","精装","",273,46867,"1室1厅1厨1卫","低楼层(共6层)","58.25㎡","暂无数据","暂无数据","板楼","东",2003,"精装","钢混结构","自供暖","一梯五户","70年","无",BJXC87837519,"商品房",2014-09-04,"普通住宅","暂无数据","暂无数据",2014-09-01,"2019-11-08 16:51:22.282424"
BJXC87985939,"大井胡同 2室1厅 57.8平米",https://bj.lianjia.com/chengjiao/BJXC87985939.html,"六铺炕","1984年建板楼","2室1厅","57.8平米","南 北","中楼层(共6层)","精装","",302,52250,"2室1厅1厨1卫","中楼层(共6层)","57.8㎡","平层","暂无数据","板楼","南 北",1984,"精装","混合结构","集中供暖","一梯两户","70年","无",BJXC87985939,"商品房",2014-09-18,"普通住宅","满五年","暂无数据",2014-09-03,"2019-11-08 16:51:22.282920"
BJXC88144547,"安德东里 2室1厅 50.4平米",https://bj.lianjia.com/chengjiao/BJXC88144547.html,"六铺炕","1970年建板楼","2室1厅","50.4平米","东 南 北","中楼层(共5层)","精装","",343,68056,"2室1厅1厨1卫","中楼层(共5层)","50.4㎡","暂无数据","暂无数据","板楼","东 南 北",1970,"精装","混合结构","集中供暖","一梯三户","70年","无",BJXC88144547,"商品房",2014-09-27,"普通住宅","满五年","暂无数据",2014-09-10,"2019-11-08 16:51:22.283153"
BJXC88010535,"黄寺大街24号院 2室1厅 63.6平米",https://bj.lianjia.com/chengjiao/BJXC88010535.html,"六铺炕","1984年建板楼","2室1厅","63.6平米","南 北","顶层(共6层)","精装","",335,52673,"2室1厅1厨1卫","顶层(共6层)","63.6㎡","平层","暂无数据","板楼","南 北",1984,"精装","砖混结构","集中供暖","一梯三户","70年","无",BJXC88010535,"商品房",2014-09-29,"普通住宅","满五年","暂无数据",2014-09-07,"2019-11-08 16:51:22.283383"
BJXC88237724,"六铺炕二区 1室1厅 48.3平米",https://bj.lianjia.com/chengjiao/BJXC88237724.html,"六铺炕","1991年建塔楼","1室1厅","48.3平米","东","中楼层(共17层)","其他","",315,65218,"1室1厅1厨1卫","中楼层(共17层)","48.3㎡","暂无数据","暂无数据","塔楼","东",1991,"其他","混合结构","集中供暖","两梯十户","70年","有",BJXC88237724,"商品房",2014-09-15,"普通住宅","暂无数据","暂无数据",2014-09-14,"2019-11-08 16:51:22.285075"
BJXC86599842,"六铺炕一区 1室1厅 49平米",https://bj.lianjia.com/chengjiao/BJXC86599842.html,"六铺炕","1986年建板塔结合","1室1厅","49平米","东","中楼层(共10层)","其他","",312,63674,"1室1厅1厨1卫","中楼层(共10层)","49㎡","平层","暂无数据","板塔结合","东",1986,"其他","混合结构","集中供暖","一梯四户","70年","有",BJXC86599842,"商品房",2014-09-14,"普通住宅","满五年","暂无数据",2014-09-10,"2019-11-08 16:51:22.285574"
BJXC87888917,"大井胡同 2室1厅 57.8平米",https://bj.lianjia.com/chengjiao/BJXC87888917.html,"六铺炕","1984年建板楼","2室1厅","57.8平米","南 北","顶层(共6层)","精装","",307-340,53089-58677,"2室1厅1厨1卫","顶层(共6层)","57.8㎡","平层","暂无数据","板楼","南 北",1984,"精装","混合结构","集中供暖","一梯两户","70年","无",BJXC87888917,"商品房",2014-09-01,"普通住宅","满五年","暂无数据",2014-09,"2019-11-08 16:51:27.727963"
BJXC87630177,"六铺炕二区 1室1厅 53.8平米",https://bj.lianjia.com/chengjiao/BJXC87630177.html,"六铺炕","1994年建板塔结合","1室1厅","53.8平米","东","中楼层(共15层)","精装","",314-347,58272-64406,"1室1厅1厨1卫","中楼层(共15层)","53.8㎡","平层","暂无数据","板塔结合","东",1994,"精装","混合结构","集中供暖","两梯七户","70年","有",BJXC87630177,"商品房",2014-09-01,"普通住宅","满五年","暂无数据",2014-09,"2019-11-08 16:51:27.728369"
BJXC87992975,"大井胡同 1室1厅 39.8平米",https://bj.lianjia.com/chengjiao/BJXC87992975.html,"六铺炕","1989年建板楼","1室1厅","39.8平米","南","底层(共6层)","简装","",231-256,58003-64109,"1室1厅1厨1卫","底层(共6层)","39.8㎡","平层","暂无数据","板楼","南",1989,"简装","混合结构","集中供暖","一梯两户","70年","无",BJXC87992975,"商品房",2014-09-01,"普通住宅","满五年","暂无数据",2014-09,"2019-11-08 16:51:27.728628"
BJXC87608092,"什坊街 2室1厅 63.6平米",https://bj.lianjia.com/chengjiao/BJXC87608092.html,"六铺炕","1989年建板楼","2室1厅","63.6平米","南 北","顶层(共6层)","简装","",328-363,51534-56958,"2室1厅1厨1卫","顶层(共6层)","63.6㎡","平层","暂无数据","板楼","南 北",1989,"简装","混合结构","集中供暖","一梯两户","70年","无",BJXC87608092,"商品房",2014-09-01,"普通住宅","满五年","暂无数据",2014-09,"2019-11-08 16:51:27.728858"
BJXC87191597,"六铺炕二区 2室1厅 59.9平米",https://bj.lianjia.com/chengjiao/BJXC87191597.html,"六铺炕","1981年建板楼","2室1厅","59.9平米","南 北","顶层(共6层)","精装","",370,61770,"2室1厅1厨1卫","顶层(共6层)","59.9㎡","平层","暂无数据","板楼","南 北",1981,"精装","混合结构","集中供暖","一梯三户","70年","无",BJXC87191597,"商品房",2014-08-31,"普通住宅","满五年","暂无数据",2014-08-30,"2019-11-08 16:51:27.729111"
BJXC87915551,"六铺炕二区 2室1厅 65.4平米",https://bj.lianjia.com/chengjiao/BJXC87915551.html,"六铺炕","1990年建塔楼","2室1厅","65.4平米","东北","高楼层(共17层)","精装","",409-452,62462-69037,"2室1厅1厨1卫","高楼层(共17层)","65.4㎡","暂无数据","暂无数据","塔楼","东北",1990,"精装","钢混结构","集中供暖","两梯八户","70年","有",BJXC87915551,"商品房",2014-09-01,"普通住宅","满五年","暂无数据",2014-09,"2019-11-08 16:51:27.729357"
BJXC87317182,"盛晖嘉园 1室1厅 72.62平米",https://bj.lianjia.com/chengjiao/BJXC87317182.html,"六铺炕","2009年建板塔结合","1室1厅","72.62平米","东南","中楼层(共15层)","精装","",386,53154,"1室1厅1厨1卫","中楼层(共15层)","72.62㎡","暂无数据","暂无数据","板塔结合","东南",2009,"精装","钢混结构","集中供暖","两梯五户","70年","有",BJXC87317182,"商品房",2014-08-31,"普通住宅","暂无数据","暂无数据",2014-08-30,"2019-11-08 16:51:27.729611"
BJXC86890702,"教场口6号院 2室1厅 52.74平米",https://bj.lianjia.com/chengjiao/BJXC86890702.html,"六铺炕","2003年建板楼","2室1厅","52.74平米","南 北","底层(共6层)","其他","",276-305,52238-57737,"2室1厅1厨1卫","底层(共6层)","52.74㎡","平层","暂无数据","板楼","南 北",2003,"其他","钢混结构","自供暖","一梯三户","70年","无",BJXC86890702,"商品房",2014-09-01,"普通住宅","满五年","暂无数据",2014-09,"2019-11-08 16:51:27.729893"
BJXC87898614,"六铺炕二区 2室1厅 57.3平米",https://bj.lianjia.com/chengjiao/BJXC87898614.html,"六铺炕","1957年建板楼","2室1厅","57.3平米","南 北","底层(共3层)","简装","",312,54451,"2室1厅1厨1卫","底层(共3层)","57.3㎡","暂无数据","暂无数据","板楼","南 北",1957,"简装","混合结构","集中供暖","一梯三户","70年","无",BJXC87898614,"商品房",2014-08-23,"普通住宅","满五年","暂无数据",2014-08-19,"2019-11-08 16:51:27.730392"
BJXC87557284,"人定湖北巷 2室1厅 62.2平米",https://bj.lianjia.com/chengjiao/BJXC87557284.html,"六铺炕","1984年建板楼","2室1厅","62.2平米","南 北","底层(共6层)","简装","",313,50322,"2室1厅1厨1卫","底层(共6层)","62.2㎡","暂无数据","暂无数据","板楼","南 北",1984,"简装","混合结构","集中供暖","一梯两户","70年","无",BJXC87557284,"商品房",2014-08-27,"普通住宅","满五年","暂无数据",2014-08-18,"2019-11-08 16:51:27.730622"
BJXC87681815,"六铺炕一区 2室1厅 64.7平米",https://bj.lianjia.com/chengjiao/BJXC87681815.html,"六铺炕","1986年建板塔结合","2室1厅","64.7平米","南 北","中楼层(共10层)","简装","",412,63602,"2室1厅1厨1卫","中楼层(共10层)","64.7㎡","暂无数据","暂无数据","板塔结合","南 北",1986,"简装","混合结构","集中供暖","一梯四户","70年","有",BJXC87681815,"商品房",2014-08-15,"普通住宅","满五年","暂无数据",2014-08-15,"2019-11-08 16:51:27.730890"
BJXC87792902,"教场口6号院 2室1厅 51.77平米",https://bj.lianjia.com/chengjiao/BJXC87792902.html,"六铺炕","2003年建板楼","2室1厅","51.77平米","南 北","低楼层(共6层)","精装","",270,52154,"2室1厅1厨1卫","低楼层(共6层)","51.77㎡","平层","暂无数据","板楼","南 北",2003,"精装","钢混结构","自供暖","一梯三户","70年","无",BJXC87792902,"商品房",2014-08-31,"普通住宅","满五年","暂无数据",2014-08-30,"2019-11-08 16:51:27.731120"
BJXC87714964,"大井胡同 3室1厅 65.6平米",https://bj.lianjia.com/chengjiao/BJXC87714964.html,"六铺炕","1989年建板楼","3室1厅","65.6平米","东 西","中楼层(共6层)","精装","",335,51068,"3室1厅1厨1卫","中楼层(共6层)","65.6㎡","暂无数据","暂无数据","板楼","东 西",1989,"精装","混合结构","集中供暖","一梯两户","70年","无",BJXC87714964,"商品房",2014-08-31,"普通住宅","满五年","暂无数据",2014-08-30,"2019-11-08 16:51:27.731368"
BJXC87394455,"什坊街2号院 3室2厅 109.6平米",https://bj.lianjia.com/chengjiao/BJXC87394455.html,"六铺炕","1999年建塔楼","3室2厅","109.6平米","东 北","低楼层(共21层)","简装","",590,53833,"3室2厅1厨2卫","低楼层(共21层)","109.6㎡","平层","暂无数据","塔楼","东 北",1999,"简装","钢混结构","集中供暖","两梯十户","70年","有",BJXC87394455,"商品房",2014-08-31,"普通住宅","满五年","暂无数据",2014-08-30,"2019-11-08 16:51:27.731685"
BJXC87534466,"六铺炕一区 2室1厅 47.3平米",https://bj.lianjia.com/chengjiao/BJXC87534466.html,"六铺炕","1975年建板楼","2室1厅","47.3平米","南 北","底层(共5层)","精装","",360,76110,"2室1厅1厨1卫","底层(共5层)","47.3㎡","平层","暂无数据","板楼","南 北",1975,"精装","混合结构","集中供暖","一梯三户","70年","无",BJXC87534466,"商品房",2014-08-27,"普通住宅","暂无数据","暂无数据",2014-08-18,"2019-11-08 16:51:27.732116"
BJXC87875679,"六铺炕三区 3室1厅 86.7平米",https://bj.lianjia.com/chengjiao/BJXC87875679.html,"六铺炕","1952年建板楼","3室1厅","86.7平米","南 北","中楼层(共4层)","精装","",435,50174,"3室1厅1厨1卫","中楼层(共4层)","86.7㎡","暂无数据","暂无数据","板楼","南 北",1952,"精装","混合结构","集中供暖","一梯两户","70年","无",BJXC87875679,"商品房",2014-08-22,"普通住宅","暂无数据","暂无数据",2014-08-16,"2019-11-08 16:51:27.732364"
BJXC88064256,"黄寺大街24号院 2室1厅 63.6平米",https://bj.lianjia.com/chengjiao/BJXC88064256.html,"六铺炕","1984年建板楼","2室1厅","63.6平米","南 北","顶层(共6层)","精装","",330,51887,"2室1厅1厨1卫","顶层(共6层)","63.6㎡","平层","暂无数据","板楼","南 北",1984,"精装","砖混结构","集中供暖","一梯三户","70年","无",BJXC88064256,"商品房",2014-08-31,"普通住宅","满五年","暂无数据",2014-08-28,"2019-11-08 16:51:27.732612"
BJXC87739621,"安德东里 2室1厅 50.1平米",https://bj.lianjia.com/chengjiao/BJXC87739621.html,"六铺炕","1970年建板楼","2室1厅","50.1平米","南 北","中楼层(共5层)","精装","",343,68464,"2室1厅1厨1卫","中楼层(共5层)","50.1㎡","暂无数据","暂无数据","板楼","南 北",1970,"精装","混合结构","集中供暖","一梯三户","70年","无",BJXC87739621,"商品房",2014-08-21,"普通住宅","满五年","暂无数据",2014-08-09,"2019-11-08 16:51:27.732850"
