id,title,link,district,bizcircle,tagList,onsale,onrent,year,housetype,cost,service,company,building_num,house_num,price,city,validdate
1111027376495,"朝内大街136号院",https://bj.lianjia.com/xiaoqu/1111027376495/,"东城","朝阳门内","近地铁2号线朝阳门站",3,1,"1999年建成","塔楼","1至2.8元/平米/月","北京茂苑物业管理有限公司","北京城建集团","2栋","360户",115692,bj,"2019-11-08 16:39:32.086803"
1111027376298,"北竹杆胡同",https://bj.lianjia.com/xiaoqu/1111027376298/,"东城","朝阳门内","近地铁2号线朝阳门站",6,1,"1989年建成","板楼/平房","0.5元/平米/月","北京天诺物业管理有限责任公司","北京住总房地产开发有限责任公司","4栋","421户",101894,bj,"2019-11-08 16:39:32.086923"
1111027376836,"大方家胡同",https://bj.lianjia.com/xiaoqu/1111027376836/,"东城","朝阳门内","近地铁2号线朝阳门站",6,0,"1990年建成","板楼/塔板结合/平房","0.5至1元/平米/月","北京亿方物业管理有限责任公司","北京住总房地产开发有限责任公司","15栋","796户",101713,bj,"2019-11-08 16:39:32.087038"
1111027374267,"芳嘉园胡同",https://bj.lianjia.com/xiaoqu/1111027374267/,"东城","朝阳门内","近地铁2号线朝阳门站",6,2,"2003年建成","板楼","0.5元/平米/月","北京天诺物业管理有限责任公司","北京住总房地产开发有限责任公司","10栋","670户",106534,bj,"2019-11-08 16:39:32.087168"
1111027378565,"南门仓胡同",https://bj.lianjia.com/xiaoqu/1111027378565/,"东城","朝阳门内","近地铁2号线朝阳门站",9,7,"1989年建成","板楼/塔板结合/平房","0.5元/平米/月","北京东方容和物业管理有限责任公司","北京城建集团","11栋","1124户",113964,bj,"2019-11-08 16:39:32.087306"
1111027376502,"仓南胡同",https://bj.lianjia.com/xiaoqu/1111027376502/,"东城","朝阳门内","近地铁2号线朝阳门站",5,2,"1979年建成","板楼","0.5元/平米/月","北京东方容和物业管理有限责任公司","北京住总集团有限责任公司","6栋","392户",114472,bj,"2019-11-08 16:39:32.087444"
1111027376748,"豆瓣胡同",https://bj.lianjia.com/xiaoqu/1111027376748/,"东城","朝阳门内","近地铁2号线朝阳门站",25,16,"2003年建成","板楼","0.98元/平米/月","北京东方容和物业管理有限责任公司","北京住总房地产开发有限责任公司","4栋","2003户",123826,bj,"2019-11-08 16:39:32.091416"
1111027379349,"烧酒胡同3号院",https://bj.lianjia.com/xiaoqu/1111027379349/,"东城","朝阳门内","近地铁2号线朝阳门站",1,0,"1998年建成","板楼","1.56元/平米/月","北京恒达物业管理有限责任公司","无开发商","3栋","136户",129389,bj,"2019-11-08 16:39:32.091646"
1111027377999,"禄米仓胡同",https://bj.lianjia.com/xiaoqu/1111027377999/,"东城","朝阳门内","近地铁5号线灯市口站",5,2,"1969年建成","板楼/平房","0.5元/平米/月","北京亿方物业管理有限责任公司","北京城开股份有限公司","46栋","614户",114706,bj,"2019-11-08 16:39:32.091871"
1111027376667,"朝阳门内大街",https://bj.lianjia.com/xiaoqu/1111027376667/,"东城","朝阳门内","近地铁5号线东四站",11,2,"1960年建成","板楼/平房","暂无信息","无物业管理服务","无开发商","13栋","790户",91312,bj,"2019-11-08 16:39:32.091994"
