id,title,link,district,bizcircle,tagList,onsale,onrent,year,housetype,cost,service,company,building_num,house_num,price,city,validdate
1111027381089,"西晴公寓",https://bj.lianjia.com/xiaoqu/1111027381089/,"海淀","西直门","近地铁2号线西直门站",7,2,"1997年建成","塔板结合","2.5元/平米/月","中海宏洋物业管理有限公司北京分公司","北京光大房地产开发有限公司","1栋","378户",89841,bj,"2019-11-08 20:55:25.027265"
1111027381456,"西直门北大街甲41号",https://bj.lianjia.com/xiaoqu/1111027381456/,"西城","西直门","近地铁2号线西直门站",3,1,"1996年建成","板楼","1.88元/平米/月","新中物业管理（中国）有限公司","无开发商","1栋","304户",83895,bj,"2019-11-08 20:55:25.027397"
1111046355457,"马相胡同",https://bj.lianjia.com/xiaoqu/1111046355457/,"西城","西直门","近地铁4号线大兴线新街口站",0,0,"暂无信息","未知类型","暂无信息","暂无信息","暂无信息","1栋","2户","暂无",bj,"2019-11-08 20:55:25.031613"
1111048467279,"交大东路39号院",https://bj.lianjia.com/xiaoqu/1111048467279/,"海淀","西直门","",0,0,"暂无信息","未知类型","暂无信息","暂无信息","暂无信息","1栋","240户","暂无",bj,"2019-11-08 20:55:25.031855"
1111027373942,"东桃园",https://bj.lianjia.com/xiaoqu/1111027373942/,"西城","西直门","近地铁4号线大兴线新街口站",3,2,"1992年建成","板楼","1.5元/平米/月","北京同心物业管理有限公司","北京建工地产","2栋","150户",105332,bj,"2019-11-08 20:55:25.031981"
1111027380142,"天兆家园平房",https://bj.lianjia.com/xiaoqu/1111027380142/,"海淀","西直门","",0,0,"1980年建成","平房","暂无信息","暂无信息","北京天缘兆业房地产开发有限公司","2栋","4户","暂无",bj,"2019-11-08 20:55:25.032115"
1111027378878,"前门西大街",https://bj.lianjia.com/xiaoqu/1111027378878/,"西城","宣武门","近地铁2号线和平门站",4,9,"1970年建成","塔楼/板楼/塔板结合","1元/平米/月","北京天岳恒房屋经营管理有限公司","无开发商","6栋","2337户",117154,bj,"2019-11-08 20:56:03.005463"
1111027380136,"笤帚胡同",https://bj.lianjia.com/xiaoqu/1111027380136/,"西城","宣武门","近地铁2号线前门站",0,0,"1950年建成","平房","暂无信息","无物业管理服务","无","4栋","13户","暂无",bj,"2019-11-08 20:56:03.006018"
1111027376564,"椿树园",https://bj.lianjia.com/xiaoqu/1111027376564/,"西城","宣武门","近地铁2号线宣武门站",49,14,"1998年建成","塔楼/板楼/塔板结合","1.08至3.1元/平米/月","北京新惠物业管理中心","北京鲁能房地产开发经营有限责任公司","18栋","3174户",110607,bj,"2019-11-08 20:56:03.006206"
1111027373799,"东南园",https://bj.lianjia.com/xiaoqu/1111027373799/,"西城","宣武门","近地铁2号线和平门站",2,2,"1955年建成","塔楼/板楼/平房","暂无信息","无物业管理服务","无开发公司","20栋","533户",105445,bj,"2019-11-08 20:56:03.006400"
1111027378562,"南柳巷",https://bj.lianjia.com/xiaoqu/1111027378562/,"西城","宣武门","近地铁2号线和平门站",1,0,"1965年建成","板楼/平房","暂无信息","暂无信息","无","20栋","142户",92463,bj,"2019-11-08 20:56:03.006591"
1111027375210,"和平门外东街",https://bj.lianjia.com/xiaoqu/1111027375210/,"西城","宣武门","近地铁2号线和平门站",6,2,"1950年建成","塔楼/板楼","1元/平米/月","北京天岳恒房屋经营管理有限公司","北京绿都源房地产开发有限公司","7栋","353户",125565,bj,"2019-11-08 20:56:03.006747"
1111027376359,"厂甸11号院",https://bj.lianjia.com/xiaoqu/1111027376359/,"西城","宣武门","近地铁2号线和平门站",3,2,"1980年建成","板楼","1元/平米/月","无物业管理服务","无开发公司","2栋","228户",109788,bj,"2019-11-08 20:56:03.007491"
1111027380629,"校场口",https://bj.lianjia.com/xiaoqu/1111027380629/,"西城","宣武门","近地铁2号线宣武门站",0,0,"1950年建成","板楼","暂无信息","暂无信息","无","31栋","162户",98927,bj,"2019-11-08 20:56:03.007684"
1111027379289,"四合上院",https://bj.lianjia.com/xiaoqu/1111027379289/,"西城","宣武门","近地铁4号线大兴线菜市口站",16,5,"2010年建成","板楼/塔板结合","2.58元/平米/月","北京长城物业管理有限公司","北京能源房地产开发有限责任公司","5栋","1473户",141636,bj,"2019-11-08 20:56:03.008350"
1111027382645,"庄胜商住楼",https://bj.lianjia.com/xiaoqu/1111027382645/,"西城","宣武门","近地铁2号线宣武门站",3,2,"1999年建成","塔板结合","2.8元/平米/月","北京庄胜物业管理有限公司","北京庄胜房地产开发有限公司","1栋","198户",114582,bj,"2019-11-08 20:56:03.008520"
1111027374452,"富卓花园",https://bj.lianjia.com/xiaoqu/1111027374452/,"西城","宣武门","近地铁4号线大兴线菜市口站",4,0,"2003年建成","塔楼/板楼","2.37至2.58元/平米/月","北京银达物业管理有限公司","北京富卓创业房地产开发有限公司","3栋","343户",145662,bj,"2019-11-08 20:56:03.008692"
1111027381292,"宣武门外西里",https://bj.lianjia.com/xiaoqu/1111027381292/,"西城","宣武门","近地铁2号线宣武门站",2,1,"1970年建成","板楼","暂无信息","单位自管物业","北京市房屋管理局","4栋","497户",106925,bj,"2019-11-08 20:56:03.008847"
1111027380430,"魏染胡同",https://bj.lianjia.com/xiaoqu/1111027380430/,"西城","宣武门","近地铁4号线大兴线菜市口站",0,1,"1949年建成","板楼/平房","暂无信息","无物业管理服务","无开发公司","19栋","111户",90042,bj,"2019-11-08 20:56:03.009037"
1111027378910,"权盛里",https://bj.lianjia.com/xiaoqu/1111027378910/,"西城","宣武门","近地铁2号线宣武门站",2,0,"1983年建成","板楼","暂无信息","单位自管物业","北京市宣武区房地产经营开发公司","1栋","90户",87457,bj,"2019-11-08 20:56:03.009225"
1111027382627,"庄胜二期",https://bj.lianjia.com/xiaoqu/1111027382627/,"西城","宣武门","近地铁2号线和平门站",28,7,"2004年建成","塔板结合","2.8元/平米/月","北京庄胜物业管理有限公司","北京庄胜房地产开发有限公司","4栋","1702户",132692,bj,"2019-11-08 20:56:03.009694"
1111027381288,"宣武门外东大街",https://bj.lianjia.com/xiaoqu/1111027381288/,"西城","宣武门","近地铁2号线宣武门站",11,7,"1970年建成","塔楼/板楼/塔板结合","1元/平米/月","北京天岳恒房屋经营管理有限公司","无开发商","6栋","1815户",117872,bj,"2019-11-08 20:56:03.009864"
